Prednasejici;Nazev;Bio;Anotace;Url;YouTube
Jan Horalík;Bezpečnostní skenery webových aplikací v cloudu;https://www.linkedin.com/in/janhoralik/;Porovnání několika cloudových skennerů webových aplikací, jejich výhody a nevýhody.;https://www.slideshare.net/secret/A3jYf4xonXqGqt;
Martin Stiborský;Terraform - infrastruktura je taky kód;https://twitter.com/stibi;Terraform vám umožňuje pomocí kódu bootstrapovat infrastrukturu u různých cloudových poskytovatelů. Popis infrastruktury se tak stává čitelnou součástí vašeho zdrojového kódu.;https://docs.google.com/presentation/d/1RGm2znGOkoJAUoy58kJ2B5JYOG17EOG_lDq_Ao5qQoU/edit?usp=sharing;https://youtu.be/PUJQaPJ9m2U
Filip Sedlák;IoT platforma pro neuronové sítě snadno a rychle;http://www.sedlakovi.org/;Jak se dá v prostředí startupu, kde je na všechno málo času, spravovat malá zařízení na nepřístupných místech? Povím vám o tom, jak se dá takové zařízení rychle a automatizovaně oživit a poté jej připojit přes WiFi, LTE nebo Ethernet. Také o tom udělat na dálku hromadně update softwaru, získávat ze zařízení automaticky data a bezpečně se na něj připojit a debugovat. To všechno za pomoci open source technologií a tak, že jednotlivé části lze vyměnit, když vzrostou nároky na platformu.;https://docs.google.com/presentation/d/1mw1OVNiKsr6JEWd9PoULwwrbkCWijMs2067l_YW2T_Y/edit?usp=sharing;https://youtu.be/rfDRk68GvtM
David Ondřich;Perl 6, MoarVM, budoucnost – má smysl se učit „nový“ Perl?;http://dond.cz/;Základní vlastnosti Perlu 6 a důvody, proč se zabývat obskurním skriptovacím jazykem, který „nemá budoucnost“;https://www.slideshare.net/dondrich/perl-6-jopenspacecz-2017;https://youtu.be/Ly3_QT0MFSU
Vladimír Oraný;Excel in Java;http://www.orany.cz/;Generování Excelů v Javě nemusí být utrpení. Vyzkoušejte http://spreadsheet.dsl.builders - umožní vám několika řádky generovat komplexní spreadsheety.;http://slides.com/musketyr/exceluj-v-jave;https://youtu.be/hvgJKj_CJ7E
Radim Kubacki;Not Invented Here syndrom;https://twitter.com/radimk;Osobní zkušenosti s Not Invented Here syndromem jsou trpké a přesto se touto cestou vydává spousta dalších. Zacházejte s časem inženýrů jako s tím nejcenějším, co máte. Před tím, než se pustíte do vývoje, zkuste si položit několik důležitých otázek ...;https://docs.google.com/presentation/d/1Ci1eGn9CocR2cPnZsXtrilWjb9aTI5m7enl64fv-9Nc/edit?usp=sharing;
Ivo Musil;Dobře volte technologie, zanedlouho totiž budou legacy;https://twitter.com/ivoshm;Zvolit technologii, kterou musíte podporovat 7 let není jednoduchý úkol. Vlastně se zdá, že v dnešní turbulentní době je to téměř nemožné a to i u takových vendorů jako je např. Redhat. Jenže v případně státních institucí si legislativa podobné podmínky klade.;;
Petr Hamerník;Generování textů v přirozeném jazyce;https://twitter.com/PetrHamernik;Jak vytvořit systém, který ze strukturovaných dat generuje texty v přirozeném jazyce. Ukážu možnou architekturu takového systému i na konkrétním projektu: systém pro tvorbu novinových článků popisující jednotlivá sportovní utkání (společný projekt Geneea a nakladatelství Economia). Články jsou generovány na základě strukturovaných dat o událostech na hřišti a dat v databázích, jakou je například znalostní báze Wikidata. V této fázi projektu jde pouze o fotbalové zápasy, ale v blízké budoucnosti bude systém rozšířen na další sporty a výhledově také na zprávy o počasí a zprávy z burzy.;https://www.dropbox.com/s/17et4h38ahs3xkl/2017-10-jOpenSpace-NLG-PetrHamernik.ppt?dl=0;https://youtu.be/4j5NV_wwK5k
Tomáš Hubálek;Pět tipů pro monetizaci mobilních aplikací;https://www.linkedin.com/in/thubalek/;Jak přistupovat chytře k monetizaci vaší aplikace na Google Play.;https://docs.google.com/presentation/d/1Gt8tj_FYlq0imEXOMHVViPt2CLEA4pybp85IY1flwUg/edit?usp=sharing;https://youtu.be/v1J-dUFPzHg
MIlan Lempera;Jazyky a typy;https://twitter.com/milanlempera;Programátoři mají často sklon vnímat některé aspekty programovacích jazyků černobíle. Jedním z typických příkladů jsou typové systémy programovacích jazyků. Pojďme se na problematicku podívat více věcně a ukázat si pár vlastností, podle kterých můžeme typovost jazyků snadno kategorizovat.;https://drive.google.com/file/d/0Bwx2-KV3tgkMMnhTTTBZSHlGWnM/view?usp=sharing;https://youtu.be/r_vmjYHHB2s
