"Prednasejici","Nazev","Bio","Anotace","Url","YouTube"
"Víťa Plšek","🎤 AI nástroje z pohledu vývojáře ","https://www.linkedin.com/in/vitaplsek/","<ul> <li>copilot má tlačítko “next” a ukáže další možná řešení</li> <li>ChatGpt může odfiltrovat dotazy na kolegy</li> <li>Ideální je začít promtem - jsem expert programátor, nevysvětluj detaily, vracej mi funkční kód <ul> <li>learnprompting.org</li> </ul> </li> <li>Používejte jej jako “brigádníka”, součet malých úkolů dá větší časovou úsporu než snaha o řešení velkého problému</li> <li>Vypněte historii, aby nedocházelo k trénování na Vašich datech</li> <li><a href=""https://www.google.com/url?q=https://www.phind.com/&amp;sa=D&amp;source=editors&amp;ust=1697390153269240&amp;usg=AOvVaw3Uojk95oTGaIass6wj3aEZ"">https://www.phind.com/</a> - kromě výstupu ukazuje i zdroje</li> </ul>","https://drive.google.com/file/d/1DCKyf7u_C-WV_oPQuuO-Ad3Y307idlf5/view?usp=sharing","https://youtu.be/9YmpfLgSdOU"
"Roman Provazník","🎤 Podcast DIY (téměř) zadarmo","https://www.linkedin.com/in/dzoukr/","<ul> <li>praktické zkušenosti z podcastu Pod Vocasem, aneb jak to udělat levně</li> <li>hardware <ul> <li>na mikrofonu nešetřit, mají Shure MV7, cena kolem 7k CZK</li> <li>rekordér zoom podtrak P4, dobré je mít 4 vstupy, cena kolem 4k CZK</li> </ul> </li> <li>doporučuje nahrávat se sluchátky na uších kvůli zpětné vazbě</li> <li>Audacity pro zpracování zvuku <ul> <li>ideálně nahrávejte rovnou mix všech stop</li> </ul> </li> <li>Postprocessing <ul> <li>aplikovat compression, srovná hlasitosti různých stop (hostů)</li> <li>aplikovat noise reduction - odstraňuje šum a ruchy (nechte si 2 vteřiny ticha na začátku jako sample)</li> <li>exportují do 320kbit</li> </ul> </li> <li>publikace <ul> <li>Soundcloud - měsíční feečko (není úplně nejlevnější)</li> <li>a nebo vlastní RSS s odkazy na MP3 v cloudu (třeba na Azure), hosting i serverless - jen statické HTML stačí</li> <li>je dobré mít pro MP3 CDNku, aby to bylo skutečně levné</li> </ul> </li> <li>v prezentaci je odkaz na github projekt Funcaster na upload hotových M3 na blobstorage v cloudu</li> <li>Podcasting 2.0 https://bramble.fm/guides/podcasting-2point0/ a OSS podcast index https://podcastindex.org/ and castopod pro self-hosted podcasty - https://castopod.org/</li> </ul>","https://docs.google.com/presentation/d/1ZXwK_p0ZQsi3F82544ac17Dy4Z_goQLP/edit?usp=sharing&ouid=116170204965247556060&rtpof=true&sd=true","https://youtu.be/KJor3wfLoRM"
"Jan Novotný","🎤 Dokumentační portál v Next.JS, GitHub, CI/CD","https://www.linkedin.com/in/jannovotny/","<ul> <li>požadavky: <ul> <li>v gitu</li> <li>markdown</li> <li>víceúčelová</li> </ul> </li> <li>example -&gt; test suite</li> <li>interaktivní příklady <ul> <li>markdown</li> </ul> </li> <li>mdx</li> <li>Greymatter hlavička</li> <li>vložené značky s dalším obsahem</li> <li>1 zdroj příkladů překládaný do 4 jazyků (GraphQL, REST, Java, C#)</li> <li>automatizované testy do všech jazyků generované z příkladů</li> <li>z diskuse vyplynulo alternativní možnost, jak řešit podobné věci pomocí <a href=""https://www.google.com/url?q=https://myst-parser.readthedocs.io/en/v0.17.1/index.html&amp;sa=D&amp;source=editors&amp;ust=1697390153272240&amp;usg=AOvVaw2ZE_oZjmY5-EiDdkCIL3QQ"">https://myst-parser.readthedocs.io/en/v0.17.1/index.html</a> </li> </ul>","https://bit.ly/evitaDB-portal","https://youtu.be/kJuaVHHexNk"
"Zdenek Henek","🎤 Alokace paměti ","https://www.linkedin.com/in/vrablik/","<ul> <li>snaha vyřešit pomalost aplikace přidáním CPU nemusí být řešení, to co se nemění je sběrnice k paměti RAM, ta je shodná ať je v serveru 6 nebo 112 jader</li> <li>nahradit 5 serverů jedním silnějším, virtualizovaným</li> <li>Roste počet jader procesoru, ale paměťová propustnost se tolik nezvyšuje (sběrnice je sdílená jádry)</li> <li>Kde je limit růstu počtu jader vzhledem k paměti?</li> <li>profiling práce s pamětí na produkci <ul> <li>eBPF skripty pro monitoring jádra</li> <li>Java Flight Recorder, monitoring alokace paměti</li> </ul> </li> <li>trik: když procesor nebere deklarovaný příkon, může to signalizovat, že nejede naplno z důvodu zdržení na IO operaci</li> <li>hardcore testa je měřit odběr elektřiny na CPU - pokud to není výrobcem udávané maximum, tak procesor není vytížen úplně</li> </ul>","https://docs.google.com/presentation/d/1wPXJQLl5rWaKQoUPb_XY9jatXTRS5bi7jD_zefjGHqw/edit?usp=sharing","https://youtu.be/c1AhzNGWP48"
"Luboš Račanský","🎤 Pocta C64","https://www.linkedin.com/in/lubosracansky/","<ul> <li>Netflix - doporučen seriál High score</li> <li>I Adore My 64 - crowdfunding akce pro natočení filmu o C64</li> </ul>","https://drive.google.com/file/d/1Qh18ERJaDBCtkrJkWW_nLUWmIve3OsjP/view?usp=sharing","https://youtu.be/Vmy2SqsfXhk"
"Michal Augustýn","🎤 Hantec vs. katalánština","https://www.linkedin.com/in/michalaugustyn/","<ul> <li>lidské věže</li> <li>autonomní společenství Katalánsko - severovýchod španělska</li> <li>balconing - skákání z balkonu do bazénu, za smrt jsou dva body, za zranění 1 (vede Německo a v závěru je GB)</li> <li>katalánština není španělština, jako oficiální jazyk je pouze v Andoře - jinak jí mluví sever Španělska a jih Francie</li> </ul>","https://docs.google.com/presentation/d/1Z5RqzWj0XhfCgipxjGd3WPRxFmD4FtOfyJ1ef4mujBU/edit?usp=sharing","https://youtu.be/xbpc4tiPBpY"
"Tomáš Záluský","🎤 20 let bez gitu 😱","https://www.linkedin.com/in/tomaszalusky/","<ul> <li>v telco často plno byznys logiky a legacy kódu v imperativním kódu uvnitř databáze</li> <li>vývoj proti databázi, waterfall, absence moderních programovacích technik</li> <li>absence verzování, export procedur z databáze do plaintextu a zazipování</li> <li>řízení přístupu postaru - dohoda vývojářů a mechanismus “zamykání” toho na čem daný člověk dělá</li> <li>historicky import ze zipů do gitu z více jak 10 let záloh</li> <li><a href=""https://www.google.com/url?q=https://github.com/java-diff-utils/java-diff-utils&amp;sa=D&amp;source=editors&amp;ust=1697390153275203&amp;usg=AOvVaw2n40xRFwmP6B8GU2HRxian"">https://github.com/java-diff-utils/java-diff-utils</a> pro vytváření patchů, ve výsledku 100 tisíc commitů (z jiného systému vytáhli commit message a autory)</li> </ul>","https://docs.google.com/presentation/d/1JRPDPZelXzigwN9--nTBGX9E0FyDWlh9j4INFgQnXyE/edit?usp=sharing","https://youtu.be/8g9A9LYH07g"
"Marian Schubert","🎤 Muj frontend toolbox (HTMX, Shoelace, hyperscript, ...)","https://www.linkedin.com/in/marianschubert/","<ul> <li>HTMX - život na frontendu bez Reactu - JS knihovna, která se jednoduše přilinkuje do stránky</li> <li>umožňuje obohatit standardní HTML tagy o další atributy, které zavádějí dynamičnost do stránky (AJAX), ale stále deklarativním způsobem <ul> <li>umožňuje i lazy load, refreshe částí stránky na základě nějakých podmínek</li> <li>infinity load, interaktivní search</li> </ul> </li> <li>vypadá velmi čitelně a jednoduše</li> <li><a href=""https://www.google.com/url?q=https://htmx.org/&amp;sa=D&amp;source=editors&amp;ust=1697390153276156&amp;usg=AOvVaw2TtG4WbcrO2z-_OeptH0OP"">https://htmx.org/</a> </li> </ul>","https://docs.google.com/presentation/d/1yDWUCjVszmnHJ9u15LYh5azJNQzEYImv7THSv4-qtqU/edit?usp=sharing","https://youtu.be/QD41sOIhcM0"
"Peter Cipov","🎤 Hackers's diet","https://www.linkedin.com/in/petercipov/","<ul> <li>50kg za 7 měsíců, bez tréninku a chození do fitka</li> <li>přerušovaný půst, jídlo 1x denně s nízkým podílem sacharidů (ketodieta)</li> <li>není nutné počítat gramy - protože v jednom jídle toho do sebe prostě tolik nedostanete</li> <li>nutriční ketóza</li> <li>zajímavé je, že dieta neovlivní kognitivní schopnosti - tělo / mozek dokáže dobře fungovat i s ketony (i bez kafe)</li> <li>budete mít ale hlad a než do toho vstoupíte budete na ostatní nepříjemný</li> <li>první přijdete o dost vody v těle i s minerály, je nutné pít a minerály doplňovat</li> <li>pořád neumíme výdej / příjem kalorií dobře měřit - tělo dokáže plno věcí obcházet</li> <li>to, že vydáváte kalorie, ještě neznamená, že budete hubnout - hezký příklad s termoskou, která sice vyzařuje teplo / kalorie ale neztratí nic na své váze</li> <li>BMR - Basal Metabolic Rate je proměnlivý - tělo se snaží za den spálit přibližně stejný počet kalorií</li> <li>chcete-li zhubnout, je nutné tělo přesvědčit, že může pálit kalorie</li> <li><a href=""https://www.google.com/url?q=http://www.metabolickyridicak.cz&amp;sa=D&amp;source=editors&amp;ust=1697390153277290&amp;usg=AOvVaw25EcUAl6ACNDr3r_8lgVq8"">www.metabolickyridicak.cz</a> </li> <li><a href=""https://www.google.com/url?q=https://www.youtube.com/@metabolickyridicak&amp;sa=D&amp;source=editors&amp;ust=1697390153277523&amp;usg=AOvVaw3PsXfNTsapdv57geH0EGgV"">https://www.youtube.com/@metabolickyridicak</a></li> <li><a href=""https://www.google.com/url?q=https://twitter.com/MRidicak&amp;sa=D&amp;source=editors&amp;ust=1697390153277706&amp;usg=AOvVaw0IZB_j2w8Ar1u0R_oi9yo-"">https://twitter.com/MRidicak</a></li> <li>pochopit, že “hlad přijde a odejde”</li> <li>ketóza je evoluční záležitost, tělo po čase samo sníží potřebu hladu, a člověk přestane být ve stresu - vychází z pravěku, kdy lidé často daleko putovali za stravou a hladověli</li> <li>jakmile tělo přejde na ketony, tak jako první spaluje tuky a pak teprve svaly</li> <li>ketony se mohou měřit z krve (existuje ketometr)</li> </ul>","https://docs.google.com/presentation/d/1JTduw0KPAyjEeBco4UrsdNbsRCNuvVW3vvh9DOOfsyc/edit?usp=sharing","https://youtu.be/XL7EqtpwVcY"
"Michal Těhník","🎤 Co dalšího můžete měřit?","https://www.linkedin.com/in/mictech/","<ul> <li>nevybočovat hladinou cukru z ideálního rozsahu ani moc nahoru ani dolů</li> <li>pod 70 nízká hladina cukru, nad 130 diabetes</li> <li>nízká hladina cukru zdá se zhoršuje kvalitu spánku</li> <li>kafe žádný cukr nepřidává</li> <li>Senzor - Freestyle libre senzor 1750, 14 dní <ul> <li>měří z mesisvalového prostoru, ne z krve (drátek pod kůži)</li> </ul> </li> <li>aplikace Veri (39$/měsíc) / SuperSapiens (2000 cena aplikace včetně senzoru) <ul> <li>doporučuje koupit si senzor a zaplatit si subscription u Veri</li> </ul> </li> <li>Jessie Inchauspé - Glucose revolution (kniha)</li> </ul>","https://docs.google.com/presentation/d/17D-vlcIgIrhCTVSfiV51eyvKwur190mpqZwXP4Nujss/edit?usp=sharing","https://youtu.be/6qPzGCEbJog"
